keyword,nDCG@5,Precision@5,Recall@5,MRR
self calibrating digital multimeters,0.5308031558,0.2,0.625,0.375
12 dibromopropane,0.565400983,0.1909090909,0.5181818182,0.5492424091
14 dibromo benzene,0.5386852807,0.16,0.6,0.5
3 bromo 4 chloro hexane,0.5384615385,0.1076923077,0.5,0.5384615385
alkyl halides,0.5384615385,0.1076923077,0.4871794615,0.5384615385
aryl halides,0.5,0.1,0.5,0.5384615385
carboxylic compound,0.5384615385,0.1384615385,0.4798534615,0.5384615385
composition,0.5384615385,0.1076923077,0.5384615385,0.5384615385
compound,1,0.2,0.25,1
compound ii,0.51462916,0.1466666667,0.5111111333,0.547343
compound interest,0.5436432512,0.1333333333,0.5,0.5
compounding calculator,0.9625862264,0.25,0.79166675,0.58712125
corresponding compound,0.5373998586,0.15,0.5625,0.53125
corresponding derivative,0.5971044357,0.2,0.6428571429,0.4722221667
dibromo compound,0.5371696476,0.1428571429,0.5714285714,0.5714285714
dichloro compound,0.3333333333,0.06666666667,0.3333333333,0.39418
dichloromethane compound,0.5,0.1,0.5,0.5125
difluoro compound,0.5436432512,0.1333333333,0.5,0.5
dihalo,1,0.2,0.2,1
dihalo aromatic,0.5788662192,0.15,0.483333375,0.5625
dihalo aromatic compound,0.5555555556,0.1333333333,0.462963,0.5555555556
dihalogen,0.5477370561,0.12,0.54,0.5274170417
diiodo compound,0.6309297536,0.2,0.5,0.5
dispenser,0.5338931479,0.4,1,0.5
ester,0.5333333333,0.16,0.5111111333,0.5333333333
halogenation,0.5333333333,0.1066666667,0.48,0.5333333333
inorganic compound,0.5087286502,0.12,0.5333333333,0.5333333333
organic compound,0.5333333333,0.1066666667,0.5333333333,0.5333333333
organohalogen compound,0.5333333333,0.1066666667,0.5333333333,0.5333333333
pharmaceutical compound,0.5555555556,0.1111111111,0.4814814444,0.5620915556
pharmaceutical derivative,0.5555555556,0.1111111111,0.5,0.5555555556
pharmaceutically acceptable compound,0.5327324384,0.125,0.5625,0.507353
pharmaceutically comprising compound,0.5327324384,0.15,0.75,0.45833325
pipette,0.5399687444,0.1555555556,0.5185185556,0.5555555556
sodium lamp,0.5,0.1,0.5,0.516741125
substrate,0.4994321842,0.1454545455,0.4727272727,0.5034965
coordinate,0.5314346096,0.15,0.5833333333,0.52777775
coordinates,0.5337860183,0.1416666667,0.4921875,0.5364583125
determine dimensional location,0.6666666667,0.1333333333,0.5,0.6666666667
determine three dimensional location,0.5436432512,0.1333333333,0.5,0.5
dimensional coordinate,0.5388316608,0.1285714286,0.5317460238,0.5357142857
dimensional coordinates,0.4077324384,0.1,0.375,0.52777775
dimensional position,0.5294117647,0.1294117647,0.5294117647,0.5294117647
dimensional spatial coordinates,0.5860649392,0.2333333333,0.5833333333,0.5555555
dimensional spatial location,0.5253652901,0.1333333333,0.5483091739,0.5269373731
dimensional spatial position,0.5290165627,0.1230769231,0.4384615385,0.5384615385
dimensions,0.5654648768,0.15,0.5625,0.5
location,0.5271341074,0.4,0.666667,0.333333
spatial coordinates,0.570585573,0.2,0.5,0.6
spatial location,0.4709828839,0.1272727273,0.5909090909,0.4589001905
spatial position,0.4705882353,0.09411764706,0.4313725294,0.4965161176
axis orientation,0.5277777778,0.1111111111,0.5277777778,0.5185185
axis position,0.5261859507,0.16,0.6,0.5
coordinates,0.5261859507,0.12,0.6,0.5
determine dimensional location,0.6,0.16,0.6,0.5
dimension location,0.6,0.12,0.4,0.5
dimension position,0.6,0.12,0.6,0.5
dimensional axis orientation,0.5261859507,0.12,0.6,0.5
dimensional axis position,0.5438607658,0.13,0.525,0.5321637368
dimensional lateral location,0.5384615385,0.1076923077,0.3807692308,0.5435897692
dimensional lateral position,0.3868528072,0.2,0.333333,0.25
dimensional orientation,0.5,0.2,0.5,0.333333
dimensional position,0.4805237907,0.1222222222,0.5111111111,0.5103603514
dimensional spatial location,0.5436432512,0.1333333333,0.5,0.5
dimensional spatial position,0.5267444773,0.1263157895,0.5473684211,0.5175438421
dimensions,0.5227272727,0.1272727273,0.5227272727,0.517316
lateral location,0.4923527034,0.3,0.541666625,0.4875
lateral position,0.5211599235,0.1176470588,0.5294117647,0.5294117647
location,0.6,0.12,0.4,0.6
outputs,0.4856824852,0.15,0.428571375,0.515625
positions,0.4200625111,0.2,0.6666666667,0.4814813333
spatial location,0.5436432512,0.1333333333,0.5,0.5
spatial position,0.5714285714,0.1142857143,0.5714285714,0.5
3d position,0.5440100857,0.1551020408,0.4897473061,0.54669794
area diameter,0.5333333333,0.1066666667,0.5,0.5333333333
computer system,0.5102491849,0.125,0.4861979063,0.5152598594
concrete slab,0.5714285714,0.1428571429,0.4642857143,0.5714285714
coordinate system,0.5174418337,0.4,1,0.333333
determine three dimensional location,0.5437912419,0.4,1,0.333333
geometric setting,0.5327017,0.1272727273,0.5,0.5454545455
health dimensions,0.5168835142,0.2,0.6666666667,0.5
location pin code,0.5098671086,0.1333333333,0.5259259333,0.5053763226
non dimensional position,0.5068426404,0.13,0.496666675,0.499772725
phone setting,0.5143631446,0.1150943396,0.5283018868,0.519047619
photo dimension,0.5161290323,0.1032258065,0.5,0.5161290323
software setting,0.5308031558,0.2,0.6,0.375
three dimensional location,0.4231340163,0.15,0.75,0.4375
triangulation technique,0.5214849621,0.1138686131,0.5225060803,0.5087185693
two dimensional location,0.5239256371,0.1342465753,0.4794520548,0.5183953014
dimension,0.4877215315,0.12,0.4166667,0.5083333
dimension image,0.5261859507,0.12,0.45,0.5
dimension location,0.5,0.1333333333,0.5,0.4444443333
dimension model,0.4913572505,0.15,0.4528212115,0.4950513529
dimension position,0.4434264036,0.2,0.6,0.3333335
dimensional,0.4191983425,0.2,0.6666666667,0.5
dimensional data,0.5342923014,0.1272727273,0.430303,0.5454545455
dimensional image,0.5174348362,0.1538461538,0.4487179231,0.5429864615
dimensional image data,0.5346963736,0.14,0.422916675,0.5391993
dimensional image model,0.5119027049,0.1090909091,0.5454545455,0.5
dimensional model,0.5000299608,0.1272727273,0.50757575,0.5021937333
dimensional position,0.5437713092,0.4,0.666667,0.333333
dimensional spatial location,0.4980146159,0.1111111111,0.5092592593,0.5185185185
dimensional spatial position,0.533504632,0.1625,0.75,0.42708325
image data,0.6934264036,0.2,0.75,0.35
image model,0.6725941869,0.2,1,0.35
location,0.5087286502,0.1066666667,0.5333333333,0.5
spatial location,0.5229490703,0.1833333333,0.3739898333,0.5210526667
spatial position,0.4433832105,0.1090909091,0.2840909091,0.50641025
coordinates,0.4285714286,0.08571428571,0.4285714286,0.4833333333
crowded location,0.5,0.2,0.5,0.333333
dimension,0.5454545455,0.1272727273,0.5,0.5454545455
dimension coordinate,0.4600312556,0.1333333333,0.3611111667,0.5151515
dimension coordinate location,0.5160203727,0.12,0.5666666667,0.4838888833
dimension location,0.5059275203,0.2,1,0.3444443333
dimension of energy,0.5015625541,0.1761904762,0.4070713333,0.5034872619
dimension of pressure,0.5,0.2,0.25,0.25
dimension position,0.5123183964,0.2666666667,0.5833333333,0.5
dimensional,0.5216078497,0.1466666667,0.4833333333,0.5333333333
dimensional coordinate,0.5045153149,0.2181818182,0.4545454545,0.5454545455
dimensional coordinate location,0.3154648768,0.1,0.5,0.3333335
dimensional device,0.6253164588,0.25,0.29791675,0.4166666667
dimensional object location,0.465338279,0.2,0.6666665,0.2916665
dimensional portal,0.4441559143,0.1176470588,0.4411764706,0.4852941176
dimensional position,0.4795574478,0.1166666667,0.4583333333,0.5074561316
dimensional spatial location,0.4334446893,0.1379310345,0.3854679655,0.4857993214
dimensional spatial position,0.5016457711,0.1288135593,0.4413135508,0.5126710254
dimensions,0.4306765581,0.2,0.5,0.25
geographic coordinate system,0.5012658353,0.4,1,0.25
geometric,0.715338279,0.2,0.75,0.625
geospatial coordinates,0.485909344,0.1416666667,0.5520833333,0.467361125
location,0.5269496081,0.1384615385,0.4615384615,0.5384615385
micro alloy microscopic structure,0.5,0.2,0.5,0.5
microscopic differential reflection,0.5,0.1,0.5,0.5
microscopic vision system,0.5,0.1,0.5,0.5
nondimensional location,0.5,0.1,0.5,0.5
object tracking model,0.5555555556,0.1111111111,0.5555555556,0.5
point,0.5,0.2,1,0.333333
spatial location,0.5,0.2,1,0.333333
spatial position,0.5,0.1,0.5,0.5
structural,0.5,0.1,0.5,0.5
system,0.5,0.2,1,0.333333
targeted object,0.5,0.2,1,0.333333
three dimensional location,0.5,0.2,0.5,0.5
three dimensional movie,0.5,0.1,0.5,0.5
tri dimensional space,0.5,0.1,0.5,0.5
air resistance,0.5,0.1,0.5,0.5
any pattern,0.5,0.1,0.5,0.5
arrangement of food,0.5,0.1,0.5,0.5
arrangement of money,0.5,0.1,0.5,0.5
arrangement of water,0.5,0.2,1,0.333333
arranging dimples,0.5,0.1,0.5,0.5
array of dimples,0.25,0.1,0.5,0.5
ball,0.5,0.2,0.5,0.5
ball center,0.5,0.1,0.5,0.5
cheek dimples,0.5,0.1,0.125,0.5
decoration,0.5,0.1,0.5,0.5
dimple,0.5,0.1,0.1666665,0.5
dimple design,0.5,0.1,0.5,0.5
dimple look,0.5,0.1,0.5,0.5
dimple pattern,0.5,0.1,0.5,0.5
dimple size,0.5,0.1,0.5,0.5
dimples,0.5,0.1,0.5,0.5
dimples arrangement,0.5,0.1,0.5,0.5
function arrangements,0.5,0.1,0.5,0.5
golf ball,0.6309297536,0.2,1,0.333333
number of dimples,0.4,0.08,0.4,0.5
outer appearance,0.5,0.1,0.25,0.5
pattern,0.5,0.1,0.5,0.5
pattern arrangement,0.5,0.1,0.5,0.5
shaped pattern,0.5,0.1,0.5,0.5
valve arrangement,0.5,0.1,0.5,0.5
convert received light,0.5,0.2,1,0.333333
direct contact,0.5,0.1,0.5,0.5
direct function,0.5,0.1,0.5,0.5
direct interference,0.5,0.1,0.5,0.5
direct path,0.5,0.2,0.5,0.5
direct received light beams,0.5,0.2,1,0.333333
directing light signal,0.5,0.2,0.5,0.5
directly receiving light,1,0.2,1,0.5
directly receiving light beam,0.5,0.1,0.5,0.5
illumination,0.5,0.1,0.5,0.5
laser,0.5,0.1,0.5,0.5
light blue,0.5,0.1,0.5,0.50625
light dispersion,0.5,0.2,0.5,0.5
received award,0.5,0.1,0.5,0.5
received beam of light,0.5,0.1,0.5,0.5
received light,0.5,0.1,0.5,0.5
received light beam,0.5,0.1,0.5,0.5
received light signal,0.5,0.1,0.5,0.5
received lighting,0.5,0.2,0.0555555,0.5
received radio wave,0,0,0,0.5
receiving direct sunlight,0.5,0.1,0.1666665,0.5
receiving goods,0.5,0.1,0.5,0.5
receiving light ray,0.5,0.15,0.5,0.5
torchlight,0.5,0.1,0.5,0.5
compact disc,0.5,0.1,0.5,0.5
disc shaped recording apparatus,0.5,0.1,0.5,0.5
disc structure recording unit,0.5,0.2,1,0.333333
disc theory,0.5,0.1,0.5,0.5
disc type storage medium,0.5,0.1,0.5,0.5
disk drill,0.5,0.1,0.25,0.5
disk recording,0.5,0.1,0.5,0.5
disk recording medium,0.5,0.1,0.5,0.53125
disk storage,0.5,0.1,0.5,0.5
disk type,0.5,0.2,1,0.333333
disk type magnetic recording medium,0.5,0.2,0.25,0.5
disk type recording,0.5,0.1,0.5,0.5
disk type storage apparatus,0.5,0.2,1,0.333333
disk type storage medium,0.5,0.1,0.5,0.5
information disk medium,0.5,0.1,0.5,0.5
information recording disk,0.5,0.1,0.5,0.5
information recording medium,0.5,0.1,0.5,0.5
land record,0.5,0.1,0.5,0.5
magnetic tape recording,0.5,0.1,0.5,0.5
medium frame size,0.5,0.1,0.5,0.5
multiple disk type,0.5,0.1,0.5,0.5
optical disc,0.5,0.2,0.5,0.5
optical disk,0.5,0.1,0.5,0.5
optical disk medium,0.5,0.1,0.5,0.5
optical disk recording medium,0.5,0.1,0.5,0.5
optical disk storage,0.5,0.1,0.5,0.5
optical medium,0.5,0.1,0.5,0.5
optical recording disc,0.5,0.1,0.5,0.5
optical recording disk,0.5,0.1,0.5,0.5
optical recording medium,0.5,0.1,0.5,0.5
optical type recording,0.5,0.1,0.5,0.5
optical type recording medium,0.5,0.1,0.5,0.5
read level,0.5,0.1,0.5,0.5
record player,0.5,0.1,0.5,0.5
recording disk,0.5,0.1,0.5,0.5
recording medium,0.5,0.1,0.5,0.5
rotating recording media,0.5,0.2,1,0.333333
storage space,0.5,0.1,0.5,0.507143
type optical disk,0.5,0.1,0.5,0.5
conduit interface area,0.5,0.1,0.5,0.5
crowd disperse,0.5,0.1,0.5,0.5
discharge in plastic materials,0.5,0.1,0.5,0.5
disperse,0.5,0.1,0.5,0.5
disperse in plastic material,0.5,0.2,0.5,0.5
disperse in plastic substance,0.5,0.1,0.5,0.5
distribute in plastic material,0.5,0.1,0.5,0.5
embed in plastic,0.5,0.1,0.375,0.5
embed in plastic material,0.5,0.1,0.5,0.5
encase in plastic,0.5,0.1,0.5,0.5
epoxy resins,0.5,0.1,0.5,0.5
gather in plastic material,0.5,0.1,0.5,0.5
hydrogravity tank,0.5,0.2,1,0.333333
liquid tight seal,0.5,0.1,0.5,0.5
mold in plastic,0.5,0.2,1,0.333333
plastic material,0.5,0.1,0.5,0.5
plastic skin disease,0.5,0.1,0.5,0.5
plastic surgery,0.5,0.1,0.5,0.5
plastic surgery method,0.5,0.2,1,0.333333
polyimide balloon catheter,0.5,0.1,0.5,0.5
polymer film,0.215338279,0.1,0.5,0.5
scatter in plastic substances,0.5,0.2,1,0.333333
separate in plastic material,0.5,0.1,0.5,0.5
study material,0.5,0.2,0.3333335,0.5
discrete persistent structures extractor disperse,0.5,0.1,0.5,0.5
dispersal syndrome,0.5,0.1,0.5,0.5
disperse in polyethylene material,0.5,0.2,1,0.333333
distribute in thermoplastic,0.5,0.1,0.5,0.5
elasticity,0.6399069297,0.2,0.6666666667,0.5
embed in plastic,0.5,0.1,0.5,0.5
embed in plastic material,0.5,0.1,0.5,0.5
encase in plastic,0.6309297536,0.2,1,0.333333
fuse with thermosetting material,0.5,0.1,0.5,0.5
inorganic particles,0.5,0.1,0.5,0.5
lithium polymer battery,0.5,0.2,1,0.333333
material design,0.5,0.1,0.5,0.5
material icons,0.5,0.1,0.5,0.5
metal dispersed polymer,0.5,0.2,1,0.333333
metal oxides dispersed polymers,0.5,0.5,0.357143,0.5
mixing with plastic material,0.5,0.4,0.5,0.5
mold in plastic,0.5,0.1,0.5,0.5
plasticity,0.5,0.1,0.5,0.5
polymers with metal nanoparticles,0.5,0.1,0.5,0.5
reinforcements,0.5,0.1,0.5,0.5
sio2 fillers,0.5,0.2,1,0.333333
spread over polymer material,0.5,0.1,0.5,0.5
spread rumours,0.5,0.1,0.5,0.5
sugar syrup,0.5,0.2,0.333333,0.333333
build platen,0.5,0.1,0.5,0.5
candid powder,0.5,0.1,0.5,0.5
disperse the powder,0.5,0.2,1,0.333333
dispersed powder,0.5,0.1,0.5,0.5
dispersed powders,0.5,0.2,1,0.333333
dispersions,0.5,0.1,0.5,0.5
disseminated powder,0.5,0.1,0.5,0.5
distributed powder,0.5,0.2,0.5,0.333333
divided,0.5,0.2,1,0.333333
divided particles,0.5,0.2,1,0.333333
divided powder,0.5,0.2,0.5,0.5
divided powder product,0.5,0.1,0.5,0.5
divided powdery powder,0.6309297536,0.2,1,0.333333
divided product,0.4306765581,0.2,1,0.333333
divided rubber,0.5,0.2,1,0.333333
divided silica,0.5,0.2,1,0.333333
feeder arm,0.5,0.1,0.5,0.5
filament drive,0.5,0.1,0.5,0.5
ground,0.4306765581,0.2,1,0.333333
ground particles,0.5,0.2,0.5,0.5
ground powder,0.5,0.1,0.5,0.5
ground product,0.5,0.1,0.5,0.5
ground silica,0.5,0.1,0.5,0.5
ironing lip,0.5,0.1,0.0833335,0.5
jaggery powder composition,0.5,0.1,0.5,0.5
plastic color blender,0.5,0.1,0.5,0.5
powder,0.5,0.1,0.5,0.5
powder bacteria,0.5,0.1,0.5,0.5
powder dispersed,0.5,0.2,0.5,0.5
powder fire extinguisher,0.5,0.1,0.5,0.5
powdered sugar,0.5,0.1,0.5,0.5
powders,0.5,0.1,0.5,0.5
scattered powder,0.5,0.2,0.5,0.5
seeds dispersed,0.6309297536,0.2,1,0.333333
silver dispersed copper powder,0.5,0.1,0.5,0.5
synthetic resins,0.5,0.1,0.5,0.5
wire,0.5,0.1,0.5,0.5
dispersed,0.5,0.1,0.5,0.5
dispersed agglomerate,0.5,0.1,0.5,0.5
dispersed fine particles,0.5,0.1,0.5,0.5
dispersed granulate,0.3154648768,0.1,0.5,0.5
dispersed particle,0.5,0.2,1,0.333333
dispersed particles,0.5,0.2,0.5,0.5
divided,0.5,0.1,0.5,0.5
divided aluminum intimate,0.5,0.1,0.5,0.5
divided aluminum powder,0.5,0.1,0.5,0.5
divided particulate,0.5,0.2,1,0.333333
divided powder,0.5,0.1,0.5,0.5
dust,0.5,0.2,1,0.333333
dusting powder,0.5,0.2,1,0.333333
fine powder,0.4615384615,0.09230769231,0.4102563846,0.5
food particle,0.5,0.2,1,0.333333
grains,0.5,0.1,0.5,0.5
granulate images,0.5,0.1,0.5,0.5
granules,0.5,0.2,1,0.333333
ground particulate,0.5,0.1,0.5,0.5
ground powder,0.5,0.2,1,0.333333
mixed,0.5,0.2,1,0.333333
mixed powder,0.5,0.1,0.5,0.5
mixed reaction,0.5,0.2,1,0.333333
particle pollution,0.5,0.2,1,0.333333
particles,0.5,0.1,0.5,0.5
pharmaceutical powder,0.6309297536,0.2,1,0.333333
powder,0.5,0.1,0.5,0.5
powder dispersion,0.5,0.1,0.5,0.5
powder milling,0.5,0.2,1,0.333333
powdered,0.5,0.1,0.5,0.5
slurry,0.5,0.1,0.5,0.5
solid dosage form,0.5,0.1,0.5,0.5
solution,0.5,0.2,1,0.333333
spheres,0.5,0.1,0.5,0.5
suspended nanoparticles,0.5,0.2,0.5,0.5
displacement control mechanism,0.5,0.1,0.5,0.5
belts and chain drives,0.5,0.1,0.5,0.5
brakes or clutches,0.5,0.1,0.5,0.5
defence mechanism,0.5,0.2,0.5,0.5
displacement belts,0.5,0.1,0.5,0.5
displacement device,0.5,0.1,0.5,0.5
displacement gears,0.5,0.1,0.5,0.5
displacement member,0.5,0.1,0.5,0.5
displacement process,0.5,0.2,1,0.333333
displacement pump,0.5,0.15,0.41666675,0.5
displacing mechanism,0.5,0.1,0.5,0.5
engine displacement,0.5,0.1,0.5,0.5
machine elements,0.5,0.1,0.5,0.5
mechanism of formation nanoparticles,0.5,0.2,0.5,0.5
mechanism of labour,0.5,0.1,0.5,0.5
mechanism of respiration,0.5,0.2,1,0.333333
moving elements,0.3154648768,0.1,0.5,0.5
object displacement,0.5,0.1,0.5,0.5
shifting mechanism,0.5,0.2,0.5,0.5
stopping displacement,0.5,0.2,1,0.333333
transfer objects,0.5,0.1,0.5,0.5
variable displacement mechanism,0.5,0.1,0.5,0.5
actuator operatively,0.5,0.1,0.5,0.5
axial displacement mechanism,0.5,0.1,0.5,0.5
biasing operably,0.5,0.1,0.5,0.5
biasing operatively,0.5,0.2,1,0.333333
carriage mechanism,0.5,0.1,0.5,0.5
conveyor,0.5,0.1,0.5,0.5
detachment mechanism,0.5,0.1,0.5,0.5
displacement adjusting mechanism,0.5,0.125,0.354166625,0.5
displacement map,0.5,0.1,0.25,0.5
displacement mechanism,0.5,0.15,0.5,0.5
displacement method,0.5,0.1,0.5,0.5
displacement process,0.6666666667,0.1333333333,0.6666666667,0.5
displacement system,0.5,0.1,0.5,0.5
displacement technique,0.5,0.2,0.5,0.5
displacement theory criminology,0.5,0.1,0.5,0.5
drive operably,0.5,0.1,0.5,0.5
drive operatively,0.4306765581,0.2,1,0.333333
elastic portion,0.5,0.2,0.25,0.5
flip plate,0.5,0.1,0.5,0.5
fluid displacement mechanism,0.5,0.2,1,0.333333
holder mechanism,0.5,0.1,0.3,0.5
holder member,0.5,0.1,0.5,0.5
holder support mechanism,0.5,0.1,0.5,0.5
holder support member,0.5,0.1,0.5,0.5
leg fracture with displacement,0.5,0.1,0.5,0.5
lithographic printing plates,0.5,0.2,1,0.333333
means operatively,0.5,0.1,0.5,0.5
motor,0.5,0.1,0.5,0.5
photopolymer stamp,0.5,0.1,0.5,0.5
quartz clock mechanism,0.5,0.2,1,0.333333
reversible heat sensitive recording,0.5555555556,0.1111111111,0.5555555556,0.5
sealing portion,0.5,0.1,0.5,0.5
sliding door mechanism,0.5,0.1,0.5,0.5
spring,0.5,0.1333333333,0.6666666667,0.4444443333
support mechanism,0.5,0.1,0.5,0.5
support member,0.5,0.2,0.5,0.5
supporting mechanism,0.5,0.2,1,0.333333
supporting member,0.5,0.1,0.5,0.5
thermal transfer film,0.3154648768,0.1,0.25,0.5
transfer unit,0.5,0.1,0.5,0.5
transport mechanism,0.5,0.1,0.5,0.505
transport system,0.5,0.1,0.5,0.5
variable displacement mechanism,0.5,0.1,0.5,0.5
assembly,0.5,0.1,0.5,0.5
brake pump,0.6666666667,0.1333333333,0.6666666667,0.5
brake source,0.5,0.1,0.5,0.5
displacement device,0.5,0.1,0.5,0.5
elevator,0.5,0.1,0.5,0.5
lifting assembly,0.4444444444,0.08888888889,0.4444444444,0.5
lifting system,0.5,0.1,0.5,0.5
motion carriage assembly,0.5,0.1,0.5,0.5
motion drive assembly,0.5,0.1,0.5,0.5
movement assembly,0.5,0.1,0.5,0.5
movement carriage assembly,0.5,0.1,0.5,0.5
movement drive assembly,0.5,0.1,0.5,0.5
movement system,0.5,0.1,0.5,0.5
post,0.5,0.1,0.5,0.5
power,0.5,0.1,0.5,0.5
power device,0.5,0.1,0.5,0.5
power device cylinder,0.5,0.1,0.5,0.5
power source,0.5,0.1,0.5,0.5
power source cylinder,0.5,0.1,0.5,0.5
pressure,0.5,0.1,0.5,0.5
pressure device,0.5,0.1,0.5,0.5
pressure device cylinder,0.5,0.1,0.5,0.5
pressure displacement device,0.5,0.1,0.5,0.5
pressure displacement mechanism,0.5,0.2,0.5,0.5
pressure mechanism,0.5,0.2,1,0.333333
pressure pump,0.5,0.1,0.5,0.5
pressure source,0.5,0.2,0.142857,0.5
pressure source cylinder,0.5,0.1,0.5,0.5
reservoir,0.5,0.1,0.33333325,0.5
source,0.5,0.2,1,0.333333
support,0.5,0.2,1,0.333333
support assembly,0.5,0.1,0.5,0.5
support member,0.5,0.1,0.5,0.5
displacement control mechanism,0.5,0.1,0.25,0.5
actuator,0.5,0.1,0.5,0.5
fluid displacement mechanism,0.5,0.2,0.5,0.5
jack,0.5,0.2,1,0.333333
lift,0.5,0.1,0.5,0.5
lift actuator,0.5,0.1,0.33333325,0.5
lift mechanism,0.5,0.2,1,0.333333
lifting actuator,0.5,0.1,0.5,0.5
lifting mechanism,0.5,0.1,0.5,0.5
lower drive mechanism,0.5,0.2,0.5,0.5
positioning means,0.5,0.1,0.5,0.5
support drive device,0.5,0.1,0.5,0.5
support drive mechanism,0.5,0.1,0.5,0.5
support lifting device,0.5,0.1,0.5,0.5
support lifting mechanism,0.5,0.1,0.5,0.5
actuator,0.5,0.1,0.25,0.5
mover,0.5,0.1,0.5,0.5
power,0.5,0.1,0.5,0.5
power means,0.5,0.1,0.5,0.5
power mechanism,0.5,0.2,0.5,0.333333
pressure,0.5,0.1,0.5,0.5
pressure means,0.5,0.1,0.5,0.5
pressure mechanism,0.5,0.2,1,0.333333
pump,0.5,0.1,0.5,0.5
shaft,0.5,0.1,0.5,0.5
turbine,0.5,0.1,0.5,0.5
convolutional neural networks,0.5,0.1,0.5,0.5
different days,0.5,0.1,0.5,0.515625
different display,0.6666666667,0.1333333333,0.6666666667,0.4444443333
different display panel,0.5,0.1,0.5,0.5
different electrodes,0.5,0.1,0.5,0.5
different modes,0.5,0.1,0.5,0.5
display 3 dimensional image,0.5,0.2,1,0.333333
display different images,0.5,0.1,0.5,0.5
display grid,0.5,0.1,0.5,0.5
display moving pictures,0.5,0.1,0.5,0.5
display pictures,0.5,0.1,0.25,0.5
display same pictures,0.5,0.1,0.5,0.5
double screen stereo imaging,0.5,0.1,0.5,0.5
dual pictures,0.5,0.1,0.5,0.5
family picture,0.5,0.1,0.5,0.5
image,0.5,0.1,0.5,0.5
items on display,0.5,0.1,0.5,0.5
multihead display different pictures,0.5,0.1,0.5,0.5
pictorial image,0.5,0.2,0.5,0.5
present different images,0.5,0.1,0.5,0.5
projector,0.5,0.1,0.5,0.5
provisional single image,0.5,0.1,0.5,0.5
show different picture,0.5,0.2,0.5,0.5
single image generation,0.5,0.1,0.5,0.5
symbol presentation,0.5,0.1,0.5,0.5
curved display apparatus,0.5,0.1,0.5,0.5
different colors,0.5,0.1,0.5,0.5
different display,0,0,0,0.5
different fonts,0.3154648768,0.1,0.1666665,0.5
different musical instruments,0.5,0.1,0.5,0.5
display control unit,0.5,0.2,1,0.333333
display different frames,0.5,0.1,0.5,0.5
display different images,0.5,0.2,1,0.333333
display different photos,0.5,0.1,0.5,0.5
display distinct images,0.5,0.1,0.5,0.5
display moving pictures,0.5,0.1,0.5,0.5
display multiple pictures,0.5,0.2,0.5,0.5
display pictures,0.5,0.1,0.5,0.5
display pixel electrodes,0.5,0.1333333333,0.6666666667,0.4444443333
display varied images,0.5,0.1,0.5,0.5
display varied pictures,0.5,0.1,0.25,0.5
display various images,0.5,0.1,0.5,0.5
image quality,0.5,0.1,0.5,0.5
jewelry display,0.5,0.1,0.5,0.5
light emitting display,0.4,0.08,0.4,0.5
picture plant,0.5,0.2,1,0.333333
pretty pictures,0.5,0.1,0.5,0.5
sequence of different image,0.5,0.2,0.5,0.5
showing different photos,0.5,0.2,1,0.333333
application display image,0.5,0.1,0.5,0.5
application display screen,0.4,0.08,0.4,0.5
application screen,0.5,0.2,0.5,0.5
application screen image,0.5,0.1,0.5,0.5
character,0.5,0.1,0.5,0.5
computer monitor,0.5,0.1,0.5,0.5
crystals to form images,0.5,0.1,0.5,0.5
displacement formula,0.5,0.1,0.5,0.5
display,0.5714285714,0.1142857143,0.5714285714,0.5
display image,0.5,0.1,0.5,0.5
display objects,0.5,0.1,0.375,0.5
display screen,0.5,0.1,0.5,0.5
displayed display object,0.5,0.1,0.5,0.5
displaying objects,0.4,0.08,0.4,0.5
exhibit object,0.5,0.1,0.25,0.5
image,0.5,0.1,0.5,0.5
image depth,0.5,0.2,1,0.333333
not displayed,0.5,0.1,0.5,0.5
object drawing,0.5,0.1,0.5,0.5
object in python,0.5,0.1,0.5,0.5
object size,0.5,0.1,0.5,0.5
objective questions,0.5,0.1,0.5,0.5
objective type questions,0.5,0.1,0.5,0.5
objects display,0.5,0.1,0.5,0.5
present object,0.5,0.1,0.5,0.5
primary objective,0.5,0.1,0.5,0.5
projection screen,0.5,0.1,0.5,0.5
quality picture,0.5,0.2,1,0.333333
screen,0.5,0.2,0.5,0.5
screen image,0.5,0.1,0.5,0.5
show object,0.5,0.1,0.5,0.5
showcase object,0.5,0.1,0.5,0.5
size display object,0.5,0.1,0.5,0.5
sound object,0.5,0.1,0.5,0.5
video materials,0.5,0.1,0.5,0.5
enlargement ct,0.5,0.1,0.5,0.5
buring device,0.5,0.1,0.5,0.5
computer,0.5,0.1,0.5,0.5
data transfer,0.5,0.1,0.5,0.5
determine data,0.5,0.1,0.5,0.5
determine flag,0.5,0.1,0.5,0.5
determine information,0.5,0.1,0.5,0.5
determine user,0.5,0.2,0.5,0.5
display device,0.5,0.1,0.5,0.5
display objects,0.5,0.1,0.5,0.5
display screen,0.5,0.1,0.5,0.5
graphic image,0.5,0.1,0.5,0.5
icon,0.5,0.1,0.5,0.5
image object,0.5,0.1,0.5,0.5
monitor,0.5,0.1,0.5,0.5
non display device,0.5,0.1,0.5,0.5
non display object,0.5,0.1,0.5,0.5
non idea,0.5,0.2,0.5,0.5
process flag,0.5,0.2,1,0.333333
process user,0.5,0.1,0.5,0.5
red flag,0.5,0.1,0.5,0.5
